id_a,id_b
b1c3d81f-051d-4a0f-83d0-fa16fc44300d,f422379e-45ed-4201-83e4-3c87bf7347f6
245d6533-d7b5-470b-b1e4-e1bd3a6cb647,490dbf6c-5a30-4db8-97ee-e706dff92f39
245d6533-d7b5-470b-b1e4-e1bd3a6cb647,f089c0f1-1c9c-4db0-b8e6-f56d67e0f557
245d6533-d7b5-470b-b1e4-e1bd3a6cb647,88e3c271-5949-447b-85fd-af2880bed385
b1c3d81f-051d-4a0f-83d0-fa16fc44300d,f089c0f1-1c9c-4db0-b8e6-f56d67e0f557
28ffafaa-5cd6-4442-8c62-feed55b6e89e,f422379e-45ed-4201-83e4-3c87bf7347f6
28ffafaa-5cd6-4442-8c62-feed55b6e89e,f089c0f1-1c9c-4db0-b8e6-f56d67e0f557
88e3c271-5949-447b-85fd-af2880bed385,b1c3d81f-051d-4a0f-83d0-fa16fc44300d
28ffafaa-5cd6-4442-8c62-feed55b6e89e,490dbf6c-5a30-4db8-97ee-e706dff92f39
490dbf6c-5a30-4db8-97ee-e706dff92f39,b1c3d81f-051d-4a0f-83d0-fa16fc44300d
28ffafaa-5cd6-4442-8c62-feed55b6e89e,88e3c271-5949-447b-85fd-af2880bed385
5136ee0b-be16-43d8-993e-6fd0293c7d2e,7a8348b1-752f-4373-b901-61d412015a57
245d6533-d7b5-470b-b1e4-e1bd3a6cb647,f422379e-45ed-4201-83e4-3c87bf7347f6
